date, pm25, pm10, o3, no2, so2, co
2023/6/1, 147, 102, 36, 11, 7, 7
2023/6/2, 147, 93, 38, 10, 4, 5
2023/6/3, 145, 79, 44, 9, 7, 5
2023/6/4, 131, 68, 30, 9, 4, 5
2023/6/5, 115, 72, 44, 12, 7, 7
2023/6/6, 148, , , , , 
2023/5/1, 102, 65, 23, 12, 5, 5
2023/5/2, 106, 73, 19, 11, 3, 5
2023/5/3, 103, 75, 23, 12, 4, 7
2023/5/4, 118, 93, 31, 11, 3, 5
2023/5/5, 152, 95, 41, 11, 4, 5
2023/5/6, 158, 105, 43, 13, 6, 5
2023/5/7, 159, 119, 46, 17, 8, 5
2023/5/8, 164, 110, 40, 14, 5, 4
2023/5/9, 164, 84, 43, 12, 4, 5
2023/5/10, 151, 103, 54, 11, 4, 5
2023/5/11, 158, 92, 44, 10, 4, 4
2023/5/12, 160, 101, 28, 12, 2, 5
2023/5/13, 149, 100, 41, 12, 3, 5
2023/5/14, 160, 90, 28, 10, 4, 4
2023/5/15, 120, 75, 28, 11, 3, 6
2023/5/16, 120, 78, 43, 10, 3, 5
2023/5/17, 128, 75, 14, 11, 4, 5
2023/5/18, 117, 69, 30, 11, 3, 5
2023/5/19, 116, , , , , 
2023/5/22, 128, 77, 19, 12, 2, 6
2023/5/23, 125, 71, 20, 11, 2, 5
2023/5/24, 124, 83, 30, 12, 2, 5
2023/5/25, 144, 61, 21, 10, 3, 7
2023/5/26, 104, 63, 11, 9, 4, 6
2023/5/27, 117, 90, 15, 9, 3, 6
2023/5/28, 151, 81, 27, 9, 3, 4
2023/5/29, 136, 84, 34, 10, 2, 6
2023/5/30, 126, 81, 32, 9, 3, 5
2023/5/31, 121, 95, 34, 11, 7, 6
2023/4/3, 115, 82, 36, 15, 6, 5
2023/4/4, 144, 72, 29, 14, 3, 5
2023/4/5, 123, 93, 41, 16, 8, 6
2023/4/6, 154, 96, 39, 16, 9, 7
2023/4/7, 155, 115, 38, 16, 8, 6
2023/4/8, 157, 102, 41, 16, 11, 8
2023/4/9, 160, 112, 38, 16, 7, 6
2023/4/10, 167, 101, 44, 18, 9, 9
2023/4/11, 164, 106, 47, 17, 11, 5
2023/4/12, 167, 106, 41, 18, 13, 6
2023/4/13, 167, 106, 55, 17, 12, 7
2023/4/14, 164, 110, 42, 17, 8, 6
2023/4/15, 165, 123, 53, 18, 12, 6
2023/4/16, 177, 116, 51, 15, 10, 7
2023/4/17, 167, 111, 48, 14, 5, 7
2023/4/18, 163, 119, 18, 18, 4, 3
2023/4/19, 162, 111, 45, 13, 5, 3
2023/4/20, 164, 82, 34, 13, 6, 5
2023/4/21, 137, 77, 43, 13, 8, 6
2023/4/22, 134, 59, 33, 13, 6, 4
2023/4/23, 99, 59, 29, 13, 3, 4
2023/4/24, 109, 76, 35, 12, 2, 5
2023/4/25, 128, 79, 38, 12, 3, 5
2023/4/26, 130, 92, 36, 12, 3, 6
2023/4/27, 156, 112, 36, 12, 5, 5
2023/4/28, 142, 88, 37, 14, 7, 5
2023/4/29, 157, 83, 36, 11, 5, 4
2023/4/30, 151, 62, 17, 11, 4, 4
2023/1/2, 240, 191, 30, 14, 4, 6
2023/1/3, 216, 157, 31, 12, 3, 6
2023/1/4, 191, 160, 30, 12, 3, 6
2023/1/5, 189, 139, 27, 12, 3, 5
2023/1/6, 182, 147, 30, 12, 3, 5
2023/1/7, 191, 150, 35, 13, 3, 5
2023/1/8, 191, 139, 28, 14, 3, 6
2023/1/9, 187, 205, 47, 19, 9, 10
2023/1/10, 222, 173, 34, 17, 6, 6
2023/1/11, 202, 162, 33, 19, 8, 10
2023/1/12, 178, 220, 35, 24, 14, 12
2023/1/13, 212, 195, 32, 21, 8, 9
2023/1/14, 202, 164, 29, 18, 6, 6
2023/1/15, 185, 147, 28, 17, 5, 8
2023/1/16, 175, 161, 31, 19, 6, 6
2023/1/17, 174, 179, 36, 19, 5, 7
2023/1/18, 185, 183, 37, 19, 6, 7
2023/1/19, 190, 215, 43, 21, 7, 12
2023/1/20, 212, 262, 31, 25, 8, 9
2023/1/21, 226, 264, 37, 20, 7, 9
2023/1/22, 224, 271, 37, 22, 9, 9
2023/1/23, 222, 225, 35, 18, 8, 6
2023/1/24, 208, 250, 32, 21, 8, 8
2023/1/25, 213, 168, 33, 16, 4, 5
2023/1/26, 186, 113, 30, 15, 6, 5
2023/1/27, 157, 115, 27, 14, 4, 5
2023/1/28, 160, 104, 35, 15, 4, 5
2023/1/29, 155, 135, 32, 20, 8, 8
2023/1/30, 166, 119, 34, 16, 4, 4
2023/1/31, 164, 87, 31, 13, 5, 4
2023/2/1, 138, 92, 29, 13, 3, 5
2023/2/2, 146, 104, 36, 15, 3, 5
2023/2/3, 146, 121, 38, 18, 9, 5
2023/2/4, 155, 98, 34, 16, 6, 5
2023/2/5, 145, 128, 36, 20, 10, 10
2023/2/6, 149, 153, 33, 22, 12, 10
2023/2/7, 167, 129, 36, 18, 8, 5
2023/2/8, 173, 114, 41, 18, 9, 7
2023/2/9, 156, 127, 49, 20, 10, 7
2023/2/10, 164, 165, 54, 22, 13, 9
2023/2/11, 178, 128, 35, 16, 8, 6
2023/2/12, 163, 99, 41, 14, 6, 5
2023/2/13, 153, 110, 45, 17, 9, 6
2023/2/14, 151, 139, 48, 19, 9, 7
2023/2/15, 162, 138, 51, 20, 13, 6
2023/2/16, 170, 175, 52, 21, 10, 7
2023/2/17, 181, 198, 21, 20, 9, 6
2023/2/18, 189, 198, 21, 19, 7, 7
2023/2/19, 190, 176, 43, 17, 5, 6
2023/2/20, 186, 153, 54, 18, 7, 8
2023/2/21, 183, 139, 49, 20, 11, 6
2023/2/22, 188, 99, 50, 18, 11, 6
2023/2/23, 158, 113, 41, 17, 6, 4
2023/2/24, 171, 101, 45, 18, 8, 7
2023/2/25, 157, 112, 50, 18, 11, 5
2023/2/26, 171, 106, 54, 17, 12, 6
2023/2/27, 166, 118, 48, 22, 12, 9
2023/2/28, 166, 133, 44, 22, 12, 6
2023/3/1, 177, 126, 40, 19, 10, 6
2023/3/2, 173, 103, 39, 18, 13, 7
2023/3/3, 162, 111, 34, 18, 13, 7
2023/3/4, 167, 96, 35, 16, 10, 5
2023/3/5, 159, 85, 36, 15, 8, 4
2023/3/6, 158, 108, 36, 15, 8, 6
2023/3/7, 156, 112, 38, 14, 7, 6
2023/3/8, 152, 91, 43, 19, 9, 6
2023/3/9, 157, 86, 40, 14, 4, 4
2023/3/10, 146, 91, 28, 19, 6, 6
2023/3/11, 158, 102, 38, 20, 8, 6
2023/3/12, 165, 120, 44, 22, 6, 8
2023/3/13, 174, 114, 48, 18, 7, 5
2023/3/14, 173, 101, 33, 17, 4, 5
2023/3/15, 162, 125, 33, 21, 9, 7
2023/3/16, 171, 93, 12, 18, 1, 6
2023/3/17, 164, 124, 30, 20, 3, 6
2023/3/18, 177, , , , , 
2023/3/21, 147, 69, 33, 14, 4, 4
2023/3/22, 123, 68, 33, 14, 4, 5
2023/3/23, 124, 89, 39, 17, 6, 6
2023/3/24, 151, 86, 33, 16, 4, 5
2023/3/25, 148, 101, 36, 14, 3, 5
2023/3/26, 161, 67, 32, 13, 4, 4
2023/3/27, 125, 78, 37, 12, 4, 5
2023/3/28, 135, 95, 37, 14, 4, 5
2023/3/29, 157, 80, 14, 13, 2, 5
2023/3/30, 147, , , , , 
2022/10/1, 150, 75, 20, 9, 3, 8
2022/10/2, 126, 58, 18, 9, 2, 5
2022/10/3, 99, 43, 15, 8, 2, 5
2022/10/4, 76, 46, 14, 8, 3, 3
2022/10/5, 75, 53, 15, 8, 2, 4
2022/10/6, 82, 35, 15, 8, 2, 4
2022/10/7, 64, 54, 18, 8, 2, 4
2022/10/8, 77, 33, 13, 7, 2, 4
2022/10/9, 53, 41, 14, 8, 2, 5
2022/10/10, 59, 56, 13, 8, 3, 5
2022/10/11, 53, 58, 19, 9, 2, 6
2022/10/12, 79, 70, 13, 9, 2, 7
2022/10/13, 98, 83, 14, 11, 3, 5
2022/10/14, 132, 85, 15, 10, 3, 5
2022/10/15, 139, 79, 19, 10, 2, 4
2022/10/16, 121, , , , , 
2022/10/24, 150, 82, 43, 12, 3, 6
2022/10/25, 117, 109, 41, 14, 3, 6
2022/10/26, 150, 120, 44, 16, 3, 5
2022/10/27, 161, 122, 46, 16, 3, 5
2022/10/28, 162, 114, 42, 14, 3, 4
2022/10/29, 157, 97, 36, 12, 3, 4
2022/10/30, 136, 92, 39, 15, 3, 5
2022/10/31, 139, 118, 34, 15, 3, 4
2022/11/1, 148, 108, 29, 14, 3, 4
2022/11/2, 155, 130, 35, 16, 3, 9
2022/11/3, 162, 161, 36, 20, 3, 8
2022/11/4, 175, 149, 31, 18, 3, 6
2022/11/5, 168, 127, 33, 17, 4, 6
2022/11/6, 161, 139, 32, 18, 3, 7
2022/11/7, 166, 135, 33, 16, 3, 6
2022/11/8, 168, 126, 31, 17, 4, 6
2022/11/9, 163, 139, 33, 18, 4, 6
2022/11/10, 169, 164, 30, 17, 3, 7
2022/11/11, 182, 179, 31, 17, 4, 7
2022/11/12, 185, 151, 38, 16, 4, 6
2022/11/13, 174, 154, 38, 17, 4, 5
2022/11/14, 177, 177, 42, 18, 5, 8
2022/11/15, 185, 189, 42, 20, 4, 8
2022/11/16, 192, 161, 35, 18, 4, 7
2022/11/17, 172, 141, 38, 16, 4, 4
2022/11/18, 168, 123, 38, 14, 4, 5
2022/11/19, 164, 156, 37, 14, 3, 5
2022/11/20, 178, 133, 41, 15, 5, 6
2022/11/21, 169, 160, 38, 19, 6, 7
2022/11/22, 182, 170, 38, 19, 5, 7
2022/11/23, 185, 159, 46, 18, 4, 7
2022/11/24, 184, 169, 38, 18, 5, 6
2022/11/25, 183, 170, 38, 19, 4, 9
2022/11/26, 185, 206, 36, 20, 6, 7
2022/11/27, 197, 195, 36, 19, 5, 6
2022/11/28, 194, 167, 34, 17, 5, 6
2022/11/29, 177, 148, 34, 17, 5, 6
